일시,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일),1시간 최다 강수량 시각(hhmi),일강수량(mm)
2013-04-02,FC서울홈경기,ACL(vs센다이),GS스포츠,9588,21249780,2.0,111.0,8.5
2013-04-06,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,9277,29385090,1.0,609.0,14.0
2013-04-20,FC서울홈경기,K리그 클래식(vs대구),GS스포츠,10089,28174130,1.0,636.0,9.5
2013-04-28,FC서울홈경기,K리그 클래식(vs강원),GS스포츠,16897,34547890,1.0,0.0,0.0
2013-05-01,FC서울홈경기,ACL(vs부리람 Utd),GS스포츠,7468,19818330,2.0,1650.0,1.0
2013-05-08,FC서울홈경기,FA컵(vs연세대),GS스포츠,1766,6049370,1.0,0.0,0.0
2013-05-21,FC서울홈경기,ACL(vs베이징 궈안),GS스포츠,14288,21364400,2.0,0.0,0.0
2013-06-01,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,22647,38192750,1.0,0.0,0.0
2013-06-23,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,17623,35948120,1.0,0.0,0.3
2013-07-07,FC서울홈경기,K리그 클래식(vs성남),GS스포츠,12967,32070850,1.0,1245.0,3.0
2013-07-10,FC서울홈경기,FA컵(vs광주),GS스포츠,3458,13865160,1.0,115.0,1.0
2013-07-31,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,13811,32428900,1.0,140.0,8.5
2013-08-03,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,43485,55968680,1.0,0.0,0.1
2013-08-07,FC서울홈경기,FA컵(vs부산),GS스포츠,6444,16499460,1.0,0.0,0.0
2013-08-15,FC서울홈경기,K리그 클래식(vs대전),GS스포츠,14229,34357580,1.0,0.0,0.0
2013-08-28,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,17313,36696200,1.0,0.0,0.0
2013-09-11,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,7582,28806490,1.0,509.0,36.5
2013-09-18,FC서울홈경기,ACL(vs알 아흘리),GS스포츠,17957,27156960,2.0,0.0,0.0
2013-09-25,FC서울홈경기,ACL(vs에스테그랄),GS스포츠,12610,23113070,2.0,0.0,0.0
2013-10-20,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,15185,32004350,1.0,0.0,0.0
2013-10-26,FC서울홈경기,ACL(vs광저우 에버그란데),GS스포츠,55287,89011210,2.0,0.0,0.0
2013-11-02,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,25583,42302370,1.0,0.0,7.5
2013-11-17,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,13305,31644230,1.0,0.0,1.0
2013-11-20,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,5307,28136110,1.0,0.0,0.0
2013-11-24,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,16946,33527290,1.0,0.0,14.0
2014-02-25,FC서울홈경기,ACL(vs센트럴코스트),GS스포츠,6491,26247070,2.0,0.0,0.0
2014-03-08,FC서울홈경기,K리그 클래식(vs전남),GS스포츠,13674,38254820,1.0,0.0,0.0
2014-03-23,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,16460,38900410,1.0,0.0,0.0
2014-03-26,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,6872,31282850,1.0,0.0,0.0
2014-04-01,FC서울홈경기,ACL(vs산프레체 히로시마),GS스포츠,8897,30223230,2.0,0.0,0.0
2014-04-06,FC서울홈경기,K리그 클래식(vs전북),GS스포츠,22662,48405350,1.0,0.0,0.0
2014-04-12,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,12497,35535660,1.0,0.0,0.0
2014-04-20,FC서울홈경기,K리그 클래식(vs포항),GS스포츠,13554,35771030,1.0,0.0,0.0
2014-04-23,FC서울홈경기,ACL(vs베이징궈안),GS스포츠,9574,28938500,2.0,0.0,0.0
2014-04-30,FC서울홈경기,FA컵(vs인천),GS스포츠,3115,8851200,1.0,0.0,0.0
2014-05-14,FC서울홈경기,AC:(vs가와사키 프론탈레),GS스포츠,12287,26804910,2.0,0.0,0.0
2014-05-18,FC서울홈경기,K리그 클래식(FC서울 vs 성남),GS스포츠,18636,39765780,1.0,0.0,0.0
2014-07-12,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,46549,81453860,1.0,0.0,0.0
2014-07-16,FC서울홈경기,FA컵(vs포항),GS스포츠,7087,19278540,1.0,0.0,0.0
2014-07-23,FC서울홈경기,K리그 클래식(vs상주),GS스포츠,7803,32702270,1.0,306.0,55.0
2014-08-06,FC서울홈경기,K리그 클래식(vs울산),GS스포츠,12551,29422030,1.0,1616.0,10.5
2014-08-16,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,24027,41640640,1.0,0.0,0.0
2014-08-27,FC서울홈경기,ACL(vs포항),GS스포츠,14122,37987630,2.0,0.0,0.0
2014-08-31,FC서울홈경기,K리그 클래식(vs제주),GS스포츠,14493,37256390,1.0,0.0,0.0
2014-09-13,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,17345,41513490,1.0,0.0,0.0
2014-09-17,FC서울홈경기,ACL(vs웨스턴시드니),GS스포츠,12901,30239180,2.0,0.0,0.0
2014-09-24,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,4336,28589420,1.0,920.0,6.5
2014-10-05,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,41300,59449530,1.0,0.0,0.0
2014-10-26,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,17039,37553900,1.0,1840.0,0.5
2014-11-02,FC서울홈경기,K리그 스플릿(vs전북),GS스포츠,10990,32273960,1.0,0.0,2.5
2014-11-16,FC서울홈경기,K리그 스플릿(vs울산),GS스포츠,14836,35270500,1.0,0.0,1.0
2014-11-23,FC서울홈경기,FA컵(vs성남),GS스포츠,26969,65933520,1.0,0.0,0.0
2014-11-26,FC서울홈경기,K리그 스플릿(vs포항),GS스포츠,7636,29186230,1.0,0.0,0.0
2015-03-14,K리그 클래식,K리그 클래식(vs전북),GS스포츠,32516,53033020,1.0,0.0,0.0
2015-04-04,K리그 클래식,K리그 클래식-4R(vs제주),GS스포츠,22155,44383420,1.0,0.0,0.0
2015-04-15,K리그 클래식,K리그 클래식-6R(vs대전),GS스포츠,7186,32039255,1.0,1.0,1.0
2015-05-02,K리그 클래식,K리그 클래식-9R(vs성남),GS스포츠,18441,41630820,1.0,2131.0,0.5
2015-05-16,K리그 클래식,K리그 클래식-11R(vs전남),GS스포츠,17819,41393340,1.0,0.0,0.0
2015-05-31,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18413,42976350,1.0,0.0,0.0
2015-06-03,K리그 클래식,K리그 클래식(vs인천),GS스포츠,5023,32334930,1.0,0.0,0.0
2015-06-17,K리그 클래식,K리그 클래식(vs부산),GS스포츠,4267,31555280,1.0,2330.0,9.5
