관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : K LEAGUE  리그 : 전체  시즌 : 2015,2016,2017,2018,2019  시즌구분  : 전체   구단구분 : 전체     요일 : 전체  경기장  : 잠실올림픽주경기장  undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KLEAGUE,K LEAGUE 2,2017 시즌,2017,03,26,일,서울 이랜드,안산 그리너스,잠실올림픽주경기장,구름많음,11.6℃,2228
KLEAGUE,K LEAGUE 2,2017 시즌,2017,03,12,일,서울 이랜드,경남 FC,잠실올림픽주경기장,흐림,14℃,4531
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,30,일,서울 이랜드,부산 아이파크,잠실올림픽주경기장,맑음,15.1℃,3060
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,08,토,서울 이랜드,경남 FC,잠실올림픽주경기장,비,21.8℃,1108
KLEAGUE,K LEAGUE 2,2016 시즌,2016,10,02,일,서울 이랜드,강원 FC,잠실올림픽주경기장,비,22.4℃,536
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,28,수,서울 이랜드,부천 FC,잠실올림픽주경기장,비,21.8℃,1001
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,17,토,서울 이랜드,,잠실올림픽주경기장,비,28.2℃,841
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,11,일,서울 이랜드,FC 안양,잠실올림픽주경기장,구름많음,28.2℃,863
KLEAGUE,K LEAGUE 2,2016 시즌,2016,09,07,수,서울 이랜드,충주 험멜,잠실올림픽주경기장,구름많음,28.6℃,508
KLEAGUE,K LEAGUE 2,2016 시즌,2016,08,27,토,서울 이랜드,고양,잠실올림픽주경기장,구름조금,29.7℃,1517
KLEAGUE,K LEAGUE 2,2016 시즌,2016,07,27,수,서울 이랜드,대구 FC,잠실올림픽주경기장,비,28.9℃,901
KLEAGUE,K LEAGUE 2,2016 시즌,2016,07,23,토,서울 이랜드,대전 시티즌,잠실올림픽주경기장,비,31.6℃,1059
KLEAGUE,K LEAGUE 2,2016 시즌,2016,07,18,월,서울 이랜드,,잠실올림픽주경기장,비,28.4℃,2504
KLEAGUE,K LEAGUE 2,2016 시즌,2016,07,03,일,서울 이랜드,부천 FC,잠실올림픽주경기장,구름많음,26.8℃,1348
KLEAGUE,K LEAGUE 2,2016 시즌,2016,06,29,수,서울 이랜드,강원 FC,잠실올림픽주경기장,구름많음,30.2℃,949
KLEAGUE,K LEAGUE 2,2016 시즌,2016,06,25,토,서울 이랜드,부산 아이파크,잠실올림픽주경기장,구름조금,26.7℃,1154
KLEAGUE,K LEAGUE 2,2016 시즌,2016,06,19,일,서울 이랜드,FC 안양,잠실올림픽주경기장,구름조금,29.3℃,1138
KLEAGUE,K LEAGUE 2,2016 시즌,2016,06,01,수,서울 이랜드,경남 FC,잠실올림픽주경기장,맑음,29.9℃,1047
KLEAGUE,K LEAGUE 2,2016 시즌,2016,05,16,월,서울 이랜드,대구 FC,잠실올림픽주경기장,비,21.9℃,1482
KLEAGUE,K LEAGUE 2,2016 시즌,2016,04,23,토,서울 이랜드,고양,잠실올림픽주경기장,구름많음,19.8℃,1452
KLEAGUE,K LEAGUE 2,2016 시즌,2016,04,02,토,서울 이랜드,대전 시티즌,잠실올림픽주경기장,맑음,21.7℃,1283
KLEAGUE,K LEAGUE 2,2016 시즌,2016,03,27,일,서울 이랜드,충주 험멜,잠실올림픽주경기장,맑음,13.1℃,2467
KLEAGUE,K LEAGUE 2,2015 시즌,2015,11,07,토,서울 이랜드,경남 FC,잠실올림픽주경기장,비,11.7℃,1872
KLEAGUE,K LEAGUE 2,2015 시즌,2015,10,25,일,서울 이랜드,부천 FC,잠실올림픽주경기장,맑음,22.8℃,1629
KLEAGUE,K LEAGUE 2,2015 시즌,2015,10,18,일,서울 이랜드,수원 FC,잠실올림픽주경기장,맑음,24.2℃,1351
KLEAGUE,K LEAGUE 2,2015 시즌,2015,10,10,토,서울 이랜드,충주 험멜,잠실올림픽주경기장,비,17.2℃,964
KLEAGUE,K LEAGUE 2,2015 시즌,2015,10,07,수,서울 이랜드,고양,잠실올림픽주경기장,구름조금,25.7℃,1034
KLEAGUE,K LEAGUE 2,2015 시즌,2015,09,23,수,서울 이랜드,,잠실올림픽주경기장,구름많음,26.1℃,680
KLEAGUE,K LEAGUE 2,2015 시즌,2015,09,20,일,서울 이랜드,상주 상무,잠실올림픽주경기장,구름조금,28.3℃,2025
KLEAGUE,K LEAGUE 2,2015 시즌,2015,09,09,수,서울 이랜드,대구 FC,잠실올림픽주경기장,맑음,30.1℃,1343
KLEAGUE,K LEAGUE 2,2015 시즌,2015,08,29,토,서울 이랜드,,잠실올림픽주경기장,맑음,30.8℃,1762
KLEAGUE,K LEAGUE 2,2015 시즌,2015,08,22,토,서울 이랜드,강원 FC,잠실올림픽주경기장,구름많음,29.6℃,1699
KLEAGUE,K LEAGUE 2,2015 시즌,2015,08,03,월,서울 이랜드,FC 안양,잠실올림픽주경기장,구름많음,31.5℃,2560
KLEAGUE,K LEAGUE 2,2015 시즌,2015,07,12,일,서울 이랜드,경남 FC,잠실올림픽주경기장,비,28℃,1215
KLEAGUE,K LEAGUE 2,2015 시즌,2015,07,08,수,서울 이랜드,고양,잠실올림픽주경기장,비,26.3℃,1021
KLEAGUE,K LEAGUE 2,2015 시즌,2015,06,20,토,서울 이랜드,상주 상무,잠실올림픽주경기장,비,22.6℃,2494
KLEAGUE,K LEAGUE 2,2015 시즌,2015,05,30,토,서울 이랜드,수원 FC,잠실올림픽주경기장,비,23.2℃,2720
KLEAGUE,K LEAGUE 2,2015 시즌,2015,05,16,토,서울 이랜드,충주 험멜,잠실올림픽주경기장,맑음,25.2℃,1638
KLEAGUE,K LEAGUE 2,2015 시즌,2015,05,13,수,서울 이랜드,강원 FC,잠실올림픽주경기장,맑음,21.4℃,1478
KLEAGUE,K LEAGUE 2,2015 시즌,2015,04,25,토,서울 이랜드,부천 FC,잠실올림픽주경기장,맑음,23℃,2175
KLEAGUE,K LEAGUE 2,2015 시즌,2015,04,04,토,서울 이랜드,대구 FC,잠실올림픽주경기장,흐림,18.5℃,2508
KLEAGUE,K LEAGUE 2,2015 시즌,2015,03,29,일,서울 이랜드,FC 안양,잠실올림픽주경기장,구름조금,16.5℃,4342
누적합계,KLEAGUE,124851,,,,,,,,,,
전종목,합계,124851,,,,,,,,,,
전종목,평균,1504,,,,,,,,,,
