경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2014-09-13,,FC서울홈경기,K리그 클래식(vs인천),GS스포츠,"17,345","41,513,490",1
2014-09-24,,FC서울홈경기,K리그 클래식(vs경남),GS스포츠,"4,336","28,589,420",1
2014-10-05,,FC서울홈경기,K리그 클래식(vs수원),GS스포츠,"41,300","59,449,530",1
2014-10-26,,FC서울홈경기,K리그 클래식(vs부산),GS스포츠,"17,039","37,553,900",1
2014-11-02,,FC서울홈경기,K리그 스플릿(vs전북),GS스포츠,"10,990","32,273,960",1
2014-11-16,,FC서울홈경기,K리그 스플릿(vs울산),GS스포츠,"14,836","35,270,500",1
2014-11-26,,FC서울홈경기,K리그 스플릿(vs포항),GS스포츠,"7,636","29,186,230",1
2015-03-14,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,32516,53033020,1
2015-04-04,K리그,K리그 클래식,K리그 클래식-4R(vs제주),GS스포츠,22155,44383420,1
2015-04-15,K리그,K리그 클래식,K리그 클래식-6R(vs대전),GS스포츠,7186,32039255,1
2015-05-02,K리그,K리그 클래식,K리그 클래식-9R(vs성남),GS스포츠,18441,41630820,1
2015-05-16,K리그,K리그 클래식,K리그 클래식-11R(vs전남),GS스포츠,17819,41393340,1
2015-05-31,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18413,42976350,1
2015-06-03,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,5023,32334930,1
2015-06-17,K리그,K리그 클래식,K리그 클래식(vs부산),GS스포츠,4267,31555280,1
2015-06-27,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,39328,90737710,1
2015-07-05,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,11587,37479390,1
2015-07-11,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17913,45552070,1
2015-07-25,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,10454,36730020,1
2015-08-22,K리그,K리그 클래식,K리그 클래식(vs대전),GS스포츠,17986,43833680,1
2015-09-09,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,9566,38273140,1
2015-09-23,K리그,K리그 클래식,K리그 클래식(vs성남),GS스포츠,8792,35108830,1
2015-09-28,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,17061,41638164,1
2015-10-04,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,20192,45085064,1
2015-10-25,K리그,K리그 클래식,K리그 스플릿(vs전북),GS스포츠,24262,51532290,1
2015-11-07,K리그,K리그 클래식,K리그 스플릿(vs수원),GS스포츠,23308,69127730,1
2016-03-20,K리그,K리그 클래식,K리그 클래식(vs상주),GS스포츠,25950,49204650,1
2016-04-02,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,19318,45520290,1
2016-04-16,K리그,K리그 클래식,K리그 클래식(vs수원FC),GS스포츠,13190,40614080,1
2016-05-08,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17530,44274590,1
2016-05-29,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,15851,42483520,1
2016-06-06,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17466,45826590,1
