경기(행사) 일시,구 분,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2014-07-16,FA컵,FA컵(vs포항),GS스포츠,7087,19278540,1
2014-07-23,K리그,K리그 클래식(vs상주),GS스포츠,7803,32702270,1
2014-08-06,K리그,K리그 클래식(vs울산),GS스포츠,12551,29422030,1
2014-08-16,K리그,K리그 클래식(vs인천),GS스포츠,24027,41640640,1
2014-08-27,ACL,ACL(vs포항),GS스포츠,14122,37987630,2
2014-08-31,K리그,K리그 클래식(vs제주),GS스포츠,14493,37256390,1
2014-09-13,K리그,K리그 클래식(vs인천),GS스포츠,17345,41513490,1
2014-09-17,ACL,ACL(vs웨스턴시드니),GS스포츠,12901,30239180,2
2014-09-24,K리그,K리그 클래식(vs경남),GS스포츠,4336,28589420,1
2014-10-05,K리그,K리그 클래식(vs수원),GS스포츠,41300,59449530,1
2014-10-26,K리그,K리그 클래식(vs부산),GS스포츠,17039,37553900,1
2014-11-02,K리그,K리그 스플릿(vs전북),GS스포츠,10990,32273960,1
2014-11-16,K리그,K리그 스플릿(vs울산),GS스포츠,14836,35270500,1
2014-11-23,FA컵,FA컵(vs성남),GS스포츠,26969,65933520,1
2014-11-26,K리그,K리그 스플릿(vs포항),GS스포츠,7636,29186230,1
2015-02-17,ACL,ACL(vs하노이T&T FC),GS스포츠,6718,23835150,3
2015-03-04,ACL,ACL(vs가시마앤틀러스),GS스포츠,5790,27579990,2
2015-03-14,K리그,K리그 클래식(vs전북),GS스포츠,32516,53033020,1
2015-03-18,ACL,ACL(vs웨스턴시드니),GS스포츠,5645,26955470,2
2015-04-04,K리그,K리그 클래식-4R(vs제주),GS스포츠,22155,44383420,1
2015-04-15,K리그,K리그 클래식-6R(vs대전),GS스포츠,7186,32039255,1
2015-04-21,ACL,ACL(vs광저우에버그란데),GS스포츠,17157,43892170,2
2015-04-29,FA컵,FA컵(vs경주 한수원),GS스포츠,1570,7593370,1
2015-05-02,K리그,K리그 클래식-9R(vs성남),GS스포츠,18441,41630820,1
