연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
58,2016-04-05 19:30,기타축구,ACL,ACL (vs 산둥루넝),GS스포츠,10147,33441240,1
59,2016-04-16 14:00,K리그,K리그 클래식,K리그 클래식(vs수원FC),GS스포츠,13190,40614080,1
60,2016-04-19 18:00,기타축구,ACL,ACL 적응훈련(부리람),GS스포츠,50,598000,1
61,2016-04-20 19:30,기타축구,ACL,ACL (vs 부리람),GS스포츠,5109,27360970,2
62,2016-04-22 15:00,기타축구,일반시민 축구경기,일반시민 축구경기,한성동문축구클럽,50,690000,1
63,2016-04-23 10:00,기타축구,일반시민 축구경기,일반시민 축구경기,곰두리축구단,60,0,1
64,2016-05-01 14:00,일반행사,종교행사,원불교 100주년 기념행사,원불교,49292,93492760,8
65,2016-05-08 14:00,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17530,44274590,1
66,2016-05-11 20:00,기타축구,FA컵,FA컵-32강전 (vs대구FC),GS스포츠,3539,11606690,1
67,2016-05-24 18:00,기타축구,ACL,ACL 적응훈련(우라와),GS스포츠,50,598000,1
68,2016-05-25 19:30,기타축구,ACL,ACL 16강전 (vs우라와 ),GS스포츠,14173,31028600,1
69,2016-05-29 14:00,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,15851,42483520,1
70,2016-06-04 18:00,일반행사,콘서트,2016 드림콘서트,한국연예제작자협회,43712,102288570,7
71,2016-06-06 18:00,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17466,45826590,1
72,2016-06-15 19:30,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,5505,34016190,1
73,2016-06-18 19:00,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,47899,88646260,1
74,2016-06-22 19:30,기타축구,FA컵,FA컵-16강전 (vs안산경찰청),GS스포츠,3993,11932030,1
75,2016-06-25 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,오 재 상,50,897000,1
76,2016-06-26 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,남 상 범,50,897000,1
77,2016-06-29 19:30,K리그,K리그 클래식,K리그 클래식(vs성남),GS스포츠,7865,41603320,1
78,2016-07-03 14:00,일반행사,프린지 축제(윷놀이),프린지 축제(윷놀이),프 린 지,500,0,1
79,2016-07-09 19:00,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18372,49353270,1
80,2016-07-13 19:30,기타축구,FA컵,FA컵-8강전 (vs전남),GS스포츠,5322,13680650,1
81,2016-07-16 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,필립스전자,50,897000,1
82,2016-07-17 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,jinguangzh,50,897000,1
83,2016-07-20 19:30,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,18814,50784780,1
84,2016-07-22 19:00,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,500,0,2
85,2016-07-31 19:00,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17140,48929580,1
86,2016-08-13 19:00,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,36309,68641240,1
87,2016-08-20 19:00,일반행사,콘서트,빅뱅 10주년 기념 콘서트,YG엔터테인먼트,64816,575270560,6
88,2016-08-23 18:30,기타축구,ACL,ACL 적응훈련(산둥루넝),GS스포츠,50,598000,1
89,2016-08-24 19:30,기타축구,ACL,ACL-8강(vs산둥루넝),GS스포츠,16044,38233230,1
90,2016-08-28 19:00,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,24508,57407730,1
91,2016-08-31 19:00,국가대표,월드컵예선 적응훈련(중국),월드컵예선 적응훈련(중국),대한축구협회,50,598000,1
92,2016-09-01 20:00,국가대표,월드컵예선(vs중국),월드컵예선(vs중국),대한축구협회,46534,260632680,2
93,2016-09-03 19:00,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,13843,44235720,1
94,2016-09-10 19:00,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,60,0,1
95,2016-09-11 8:00,기타축구,일반시민 축구경기,일반시민 축구경기,조 성 일,50,897000,1
96,2016-09-18 16:00,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,15516,44263090,1
97,2016-09-23 10:00,일반행사,전국금융노조 축제 한마당,전국금융노조 축제 한마당,전국금융산업노동조합,53332,88433400,3
98,2016-09-24 9:30,기타축구,일반시민 축구경기,일반시민 축구경기,윤 무 영,50,897000,1
99,2016-09-25 18:00,일반행사,프린지 축제(즉흥으로놀자),프린지 축제(즉흥으로놀자),프 린 지,500,0,2
100,2016-10-03 8:00,일반행사,어반 애슬런 2016,어반 애슬런 2016,볼 렌 트,1600,36917580,2
101,2016-10-08 12:00,일반행사,청춘 아레나,청춘 아레나,마이크임팩트,9449,47704320,5
102,2016-10-15 12:00,기타축구,2016 서울컵 남자부 결승,2016 서울컵 남자부 결승,"공단, GS스포츠",50,0,1
103,2016-10-15 15:00,K리그,K리그 클래식,스플릿리그 (vs울산),GS스포츠,10482,38438370,1
104,2016-10-18 18:30,기타축구,ACL,ACL 적응훈련(전북),GS스포츠,50,460000,1
105,2016-10-19 19:30,기타축구,ACL,ACL 4강전 (vs전북),GS스포츠,14677,36210420,1
106,2016-10-22 12:00,기타축구,2016 서울컵 여자부 결승,2016 서울컵 여자부 결승,"공단, GS스포츠",50,0,1
107,2016-10-22 15:00,K리그,K리그 클래식,스플릿리그 (vs상주),GS스포츠,11565,41455400,1
108,2016-10-26 19:30,기타축구,FA컵,FA컵 4강전 (vs부천),GS스포츠,5843,12934460,1
109,2016-11-02 19:30,K리그,K리그 클래식,스플릿리그 (vs전남),GS스포츠,5011,34624960,1
110,2016-11-14 19:00,국가대표,월드컵예선 적응훈련(우주백),월드컵예선 적응훈련(우주백),대한축구협회,150,1518000,3
111,2016-11-15 20:00,국가대표,월드컵예선(vs우주백),월드컵예선(vs우주백),대한축구협회,27496,133667740,1
112,2016-11-20 9:00,기타축구,서울시 S리그 결승,서울시 S리그 결승,서울시 체육진흥과,50,411580,1
